Filename	HasTarget	TargetCenterX	TargetCenterY	TargetWidth	TargetHeight	TargetAngle
frame0433.jpg	1	86.196	173.538	44.290	122.067	75.323
frame0434.jpg	1	82.019	179.416	47.647	124.297	75.406
frame0435.jpg	1	79.225	185.388	49.451	127.359	74.478
frame0436.jpg	1	78.009	189.544	50.889	128.821	74.203
frame0437.jpg	1	77.173	195.617	52.776	131.193	73.732
frame0438.jpg	1	77.199	200.795	54.375	132.880	73.452
frame0439.jpg	1	76.904	205.686	55.726	134.952	73.011
frame0440.jpg	1	77.247	211.713	57.491	136.670	72.490
frame0441.jpg	1	78.396	215.257	59.036	137.477	72.298
frame0442.jpg	1	80.604	218.856	60.067	137.880	72.237
frame0443.jpg	1	82.814	219.955	60.756	138.563	72.021
frame0444.jpg	1	85.578	222.464	61.755	138.830	71.839
frame0445.jpg	1	87.390	226.989	63.306	139.832	71.479
frame0446.jpg	1	90.094	232.788	65.091	141.026	70.890
frame0447.jpg	1	92.271	236.647	66.477	141.115	70.931
frame0448.jpg	1	94.982	238.301	67.187	141.819	70.616
frame0449.jpg	1	97.629	240.014	68.431	141.992	70.656
frame0450.jpg	1	99.494	245.208	70.612	144.352	70.238
frame0451.jpg	1	99.074	256.212	74.484	148.261	68.960
frame0452.jpg	1	98.413	264.593	77.379	152.043	68.405
frame0453.jpg	1	97.368	273.885	81.117	156.205	67.474
frame0454.jpg	1	97.109	279.225	83.423	159.822	67.114
frame0455.jpg	1	96.454	281.597	84.999	162.301	67.104
frame0456.jpg	1	96.237	286.583	88.082	166.060	66.229
frame0457.jpg	1	94.319	295.229	91.626	171.658	65.192
frame0458.jpg	1	92.842	307.117	95.650	177.686	63.356
frame0459.jpg	1	90.131	321.790	102.178	186.620	61.274
frame0460.jpg	1	91.632	345.849	114.559	200.651	58.193
frame0461.jpg	1	95.057	347.931	116.296	201.417	57.986
frame0462.jpg	1	99.211	347.953	117.300	200.692	58.005
frame0463.jpg	1	104.134	346.757	117.448	198.439	58.360
frame0464.jpg	1	107.851	345.675	117.490	196.836	58.475
frame0465.jpg	1	112.195	344.527	117.263	194.438	58.737
frame0466.jpg	1	118.009	342.752	117.181	191.920	58.806
frame0467.jpg	1	130.803	334.626	114.713	184.368	60.571
frame0468.jpg	1	-1.000	-1.000	-1.000	-1.000	-1.000
frame0469.jpg	1	141.125	324.331	110.910	177.212	62.807
frame0470.jpg	1	153.191	304.305	102.944	166.943	66.389
frame0471.jpg	1	153.792	299.431	101.459	165.435	67.478
frame0472.jpg	1	153.797	295.199	99.745	163.992	67.837
frame0473.jpg	1	152.726	289.400	97.431	162.191	68.467
frame0474.jpg	1	151.608	285.702	96.318	162.041	68.631
frame0475.jpg	1	149.968	282.686	95.501	162.032	68.681
frame0476.jpg	1	147.824	282.717	95.681	163.077	68.670
frame0477.jpg	1	144.168	286.979	98.307	166.498	67.782
frame0478.jpg	1	140.154	293.144	100.833	170.393	66.873
frame0479.jpg	1	133.698	303.676	104.721	176.969	64.851
frame0480.jpg	1	128.783	311.607	108.893	182.754	63.502
frame0481.jpg	1	123.510	319.685	112.710	189.792	62.180
frame0482.jpg	1	115.698	329.881	118.178	198.757	60.527
frame0483.jpg	1	114.116	333.710	120.147	202.437	59.624
frame0484.jpg	1	100.734	361.608	133.263	223.516	56.274
frame0485.jpg	1	95.692	374.340	138.220	232.117	55.109
frame0486.jpg	1	93.223	382.052	141.189	236.357	54.670
frame0487.jpg	1	92.939	384.944	138.854	232.577	55.642
frame0488.jpg	1	90.610	395.540	148.116	245.825	52.856
frame0489.jpg	1	-1.000	-1.000	-1.000	-1.000	-1.000
frame0490.jpg	1	97.763	399.471	149.899	244.301	52.998
frame0491.jpg	1	105.098	396.192	147.530	234.352	54.511
frame0492.jpg	1	-1.000	-1.000	-1.000	-1.000	-1.000
frame0493.jpg	1	112.474	400.213	151.438	238.011	52.633
frame0494.jpg	1	116.459	399.537	151.699	235.838	52.722
frame0495.jpg	1	122.912	395.244	148.286	227.447	54.289
frame0496.jpg	1	125.858	395.984	150.050	228.877	53.374
frame0497.jpg	1	133.247	385.883	140.942	212.106	57.483
frame0498.jpg	1	-1.000	-1.000	-1.000	-1.000	-1.000
frame0499.jpg	1	137.000	387.614	144.770	217.048	55.358
frame0500.jpg	1	139.565	386.257	145.105	216.459	54.806
frame0501.jpg	1	141.772	383.126	142.626	212.279	55.590
frame0502.jpg	1	143.443	378.295	139.239	206.303	57.337
frame0503.jpg	1	-1.000	-1.000	-1.000	-1.000	-1.000
frame0504.jpg	1	158.971	179.342	110.408	164.689	68.910
frame0505.jpg	1	154.968	137.145	120.342	166.014	65.124
frame0506.jpg	1	152.561	123.386	120.692	166.114	64.960
frame0507.jpg	1	143.612	82.251	124.251	167.633	65.135
frame0508.jpg	1	138.218	61.712	127.353	168.296	63.872
frame0509.jpg	1	130.283	33.868	133.773	170.957	63.077
frame0510.jpg	1	123.299	13.366	138.652	172.803	63.672
frame0511.jpg	1	113.085	-15.646	148.983	177.604	61.968
frame0512.jpg	1	108.509	-40.452	169.312	193.354	45.173
frame0513.jpg	0	0.000	0.000	0.000	0.000	0.000
frame0514.jpg	0	0.000	0.000	0.000	0.000	0.000
frame0515.jpg	0	0.000	0.000	0.000	0.000	0.000
frame0516.jpg	0	0.000	0.000	0.000	0.000	0.000
frame0517.jpg	0	0.000	0.000	0.000	0.000	0.000
frame0518.jpg	1	-1.000	-1.000	-1.000	-1.000	-1.000
frame0519.jpg	1	75.133	-24.452	169.048	184.071	41.057
frame0520.jpg	1	75.942	-12.608	169.782	184.549	34.826
frame0521.jpg	1	77.700	-4.280	163.670	178.015	46.949
frame0522.jpg	1	80.045	0.120	163.561	178.726	43.917
frame0523.jpg	1	80.221	0.014	165.848	180.362	41.415
frame0524.jpg	1	98.303	86.521	142.349	172.888	49.289
frame0525.jpg	1	103.835	136.743	132.718	171.073	55.615
frame0526.jpg	1	105.287	138.316	132.839	170.903	56.081
frame0527.jpg	1	107.837	139.975	133.343	170.884	56.276
frame0528.jpg	1	108.975	140.540	133.530	171.125	55.826
frame0529.jpg	1	110.209	140.400	134.196	171.613	56.019
frame0530.jpg	1	111.333	139.766	134.807	172.528	56.071
frame0531.jpg	1	111.757	139.181	134.894	173.147	56.468
frame0532.jpg	1	113.292	136.984	136.196	174.149	56.642
frame0533.jpg	1	119.215	132.708	135.873	173.212	57.820
frame0534.jpg	1	125.626	128.402	135.438	172.850	57.943
frame0535.jpg	1	127.250	126.396	135.942	173.985	57.596
frame0536.jpg	1	127.880	124.316	136.195	174.833	58.164
frame0537.jpg	1	128.720	122.327	136.508	175.291	58.460
frame0538.jpg	1	129.301	120.970	136.271	175.539	59.248
frame0539.jpg	1	129.900	119.687	136.513	175.298	58.569
frame0540.jpg	1	129.945	119.197	136.122	174.990	59.025
frame0541.jpg	1	136.793	117.693	135.767	173.218	59.773
frame0542.jpg	1	146.255	117.007	136.408	172.348	60.124
frame0543.jpg	1	158.115	115.720	136.476	171.004	61.371
frame0544.jpg	1	165.353	114.512	136.149	170.207	62.091
frame0545.jpg	1	172.406	112.750	135.577	169.301	62.749
frame0546.jpg	1	176.949	110.678	135.435	168.374	63.693
frame0547.jpg	1	189.050	107.683	135.731	167.478	65.873
frame0548.jpg	1	200.140	105.198	136.192	166.450	66.568
frame0549.jpg	1	211.803	103.170	136.202	166.187	68.513
frame0550.jpg	1	230.309	98.991	135.634	164.751	71.090
frame0551.jpg	1	239.242	94.759	134.844	164.713	72.767
frame0552.jpg	1	249.996	88.775	134.454	164.170	74.929
frame0553.jpg	1	260.437	84.237	134.188	164.278	76.964
frame0554.jpg	1	272.581	78.320	133.144	163.966	79.353
frame0555.jpg	1	283.141	72.946	132.182	163.381	80.903
frame0556.jpg	1	290.298	67.590	130.258	162.575	81.990
frame0557.jpg	1	293.854	63.869	127.975	161.408	82.497
frame0558.jpg	1	295.568	49.431	124.194	159.359	82.712
frame0559.jpg	1	293.006	43.258	122.529	158.651	82.266
frame0560.jpg	1	289.984	38.162	120.405	158.068	82.498
frame0561.jpg	1	288.710	35.356	119.800	158.069	82.102
frame0562.jpg	1	276.766	17.752	112.647	157.211	82.010
frame0563.jpg	1	272.310	12.665	110.947	157.009	82.147
frame0564.jpg	1	266.921	6.122	112.187	158.277	79.948
frame0565.jpg	1	261.981	2.660	112.091	158.608	79.313
